goodreads_book_id,genre,count
1,Children's,1095
1,Classics,958
1,Contemporary,289
1,Fantasy,37174
1,Fiction,9954
1,Mystery,465
1,Paranormal,673
1,Romance,334
1,Young Adult,12716
2,Children's,1098
2,Fantasy,3441
2,Fiction,972
2,Mystery,447
2,Paranormal,688
2,Romance,213
2,Young Adult,865
3,Children's,1771
3,Classics,1898
3,Contemporary,397
3,Fantasy,47478
3,Fiction,13239
3,Mystery,657
3,Paranormal,923
3,Young Adult,14984
5,Children's,1338
5,Classics,1090
5,Contemporary,324
5,Fantasy,39330
5,Fiction,10656
5,Mystery,526
5,Paranormal,720
5,Young Adult,12856
6,Children's,1227
6,Classics,1032
6,Contemporary,301
6,Fantasy,38378
6,Fiction,10249
6,Mystery,493
6,Paranormal,702
6,Young Adult,12979
8,Children's,3
8,Classics,5
8,Contemporary,2
8,Fantasy,104
8,Fiction,25
8,Mystery,4
8,Paranormal,5
8,Science Fiction,2
8,Thriller,2
8,Young Adult,34
10,Children's,8
10,Classics,9
10,Contemporary,3
10,Fantasy,253
10,Fiction,84
10,Mystery,3
10,Paranormal,5
10,Young Adult,78
11,Classics,2829
11,Contemporary,127
11,Ebooks,151
11,Fantasy,3428
11,Fiction,7012
11,Science,224
11,Science Fiction,10977
11,Young Adult,307
13,Classics,551
13,Contemporary,36
13,Ebooks,54
13,Fantasy,933
13,Fiction,1979
13,Philosophy,23
13,Science,89
13,Science Fiction,2641
13,Young Adult,51
21,Ebooks,77
21,Fiction,53
21,History,3160
21,Nonfiction,1845
21,Philosophy,137
21,Science,1040
21,Travel,73
24,Biography,67
24,Contemporary,15
24,Ebooks,18
24,Fiction,30
24,History,114
24,Memoir,267
24,Nonfiction,702
24,Travel,2312
25,Biography,138
25,Contemporary,17
25,Ebooks,27
25,Fiction,29
25,History,45
25,Memoir,354
25,Nonfiction,540
25,Science,20
25,Travel,94
26,Biography,60
26,Contemporary,16
26,Ebooks,16
26,Fiction,22
26,History,21
26,Memoir,190
26,Nonfiction,390
26,Travel,1536
27,Biography,61
27,Contemporary,12
27,Ebooks,18
27,Fiction,16
27,History,32
27,Memoir,180
27,Nonfiction,362
27,Travel,1827
28,Biography,107
28,Contemporary,32
28,Ebooks,26
28,Fiction,48
28,History,51
28,Memoir,306
28,Nonfiction,653
28,Travel,2191
29,Contemporary,12
29,Ebooks,18
29,History,151
29,Nonfiction,167
30,Classics,44
30,Fantasy,105
30,Fiction,322
30,Science Fiction,26
30,Young Adult,50
33,Classics,3904
33,Ebooks,74
33,Fantasy,13690
33,Fiction,3758
33,Science Fiction,142
33,Young Adult,278
34,Classics,7966
34,Ebooks,114
34,Fantasy,31618
34,Fiction,7187
34,Science Fiction,343
34,Young Adult,654
36,Art,31
36,Fantasy,104
36,Fiction,15
36,Nonfiction,7
36,Science,1
50,Children's,326
50,Classics,735
50,Contemporary,76
50,Fiction,1587
50,Young Adult,2121
67,Classics,13
67,Contemporary,23
67,Ebooks,13
67,Fiction,212
67,Historical Fiction,694
67,History,79
93,Children's,508
93,Classics,2886
93,Ebooks,20
93,Fiction,858
93,Historical Fiction,233
93,Young Adult,325
98,Children's,3
98,Ebooks,3
98,Nonfiction,118
98,Self Help,14
105,Classics,65
105,Ebooks,31
105,Fantasy,210
105,Fiction,439
105,Philosophy,7
105,Religion,17
105,Science,35
105,Science Fiction,1369
106,Classics,155
106,Ebooks,41
106,Fantasy,620
106,Fiction,1080
106,Philosophy,25
106,Religion,50
106,Science,80
106,Science Fiction,633
112,Classics,110
112,Ebooks,39
112,Fantasy,478
112,Fiction,887
112,Philosophy,25
112,Religion,29
112,Science,73
112,Science Fiction,2783
117,Classics,68
117,Ebooks,29
117,Fantasy,229
117,Fiction,501
117,Philosophy,15
117,Religion,22
117,Science,48
117,Science Fiction,1550
119,Art,66
119,Classics,5
119,Fantasy,89
119,Fiction,10
119,Nonfiction,11
119,Science,1
122,Classics,126
122,Contemporary,31
122,Fiction,1102
122,Historical Fiction,465
122,History,37
122,Memoir,12
122,Sports,20
122,Young Adult,62
231,Contemporary,43
231,Fiction,536
231,Romance,4
231,Young Adult,16
249,Classics,226
249,Contemporary,21
249,Ebooks,19
249,Fiction,271
249,Memoir,26
249,Romance,24
250,Biography,6
250,Classics,150
250,Contemporary,11
250,Ebooks,11
250,Fiction,363
250,Romance,7
264,Classics,2632
264,Ebooks,38
264,Fiction,1053
264,Historical Fiction,116
264,Romance,93
275,Biography,20
275,Classics,262
275,Contemporary,22
275,Ebooks,12
275,Fiction,656
275,Historical Fiction,81
275,Memoir,40
275,Romance,155
291,Classics,36
291,Ebooks,5
291,Fantasy,4
291,Philosophy,32
291,Poetry,63
291,Religion,3
291,Romance,22
291,Spirituality,20
295,Children's,304
295,Classics,8727
295,Ebooks,199
295,Fantasy,412
295,Fiction,3299
295,Historical Fiction,724
295,History,54
295,Thriller,47
295,Young Adult,769
304,Classics,830
304,Ebooks,16
304,Fiction,349
304,Historical Fiction,56
304,Religion,9
304,Romance,45
320,Classics,5578
320,Contemporary,175
320,Fiction,262
320,Romance,114
343,Classics,1307
343,Contemporary,158
343,Crime,516
343,Fantasy,310
343,Fiction,2637
343,Historical Fiction,1473
343,History,106
343,Horror,888
343,Mystery,554
343,Suspense,111
343,Thriller,493
348,Classics,29
348,Ebooks,13
348,Fantasy,39
348,Fiction,204
348,Romance,4
348,Science,27
348,Science Fiction,769
348,Travel,12
348,Young Adult,6
350,Classics,914
350,Ebooks,44
350,Fantasy,424
350,Fiction,2069
350,Philosophy,136
350,Religion,118
350,Science,125
350,Science Fiction,4713
353,Classics,33
353,Fantasy,58
353,Fiction,252
353,Romance,11
353,Science,25
353,Science Fiction,939
355,Classics,4
355,Ebooks,4
355,Fantasy,217
355,Fiction,240
355,Philosophy,4
355,Religion,39
355,Romance,5
355,Science,15
355,Science Fiction,492
357,Classics,26
357,Contemporary,22
357,Crime,44
357,Ebooks,60
357,Fantasy,1018
357,Fiction,1074
357,Mystery,377
357,Science,46
357,Science Fiction,938
359,Biography,30
359,Classics,7
359,Ebooks,19
359,Fantasy,198
359,Fiction,155
359,Mystery,36
359,Nonfiction,49
359,Philosophy,9
359,Religion,7
359,Science,44
359,Science Fiction,513
360,Classics,120
360,Ebooks,75
360,Fantasy,519
360,Fiction,1318
360,Science,60
360,Science Fiction,2459
360,Young Adult,23
365,Classics,37
365,Contemporary,22
365,Crime,93
365,Ebooks,86
365,Fantasy,344
365,Fiction,452
365,Mystery,199
365,Paranormal,21
365,Science,68
365,Science Fiction,489
365,Travel,24
378,Children's,747
378,Classics,1334
378,Fantasy,2880
378,Fiction,1777
378,Science Fiction,52
378,Young Adult,999
386,Biography,31
386,Contemporary,6
386,Fiction,56
386,Memoir,280
386,Nonfiction,99
386,Poetry,18
400,Biography,5
400,Classics,18
400,Contemporary,30
400,Crime,11
400,Fiction,407
400,Historical Fiction,128
400,History,22
400,Thriller,5
415,Classics,79
415,Contemporary,52
415,Ebooks,18
415,Fantasy,20
415,Fiction,378
415,Historical Fiction,168
415,History,40
415,Philosophy,16
415,Science,22
415,Science Fiction,234
424,Biography,28
424,Classics,96
424,Contemporary,11
424,Fiction,73
424,History,105
424,Memoir,125
424,Nonfiction,482
424,Philosophy,10
424,Travel,11
428,Classics,123
428,Contemporary,50
428,Fiction,16
428,Historical Fiction,12
428,Memoir,7
431,Classics,71
431,Contemporary,141
431,Crime,89
431,Ebooks,16
431,Fiction,1071
431,Mystery,301
431,Thriller,32
432,Classics,22
432,Comics,4
432,Contemporary,32
432,Crime,27
432,Fiction,261
432,Graphic Novels,8
432,Mystery,126
432,Philosophy,6
432,Thriller,4
446,Classics,4
446,Contemporary,57
446,Fiction,406
446,Romance,4
447,Fiction,284
447,Romance,5
449,Classics,5
449,Contemporary,37
449,Fiction,272
449,Philosophy,4
456,Contemporary,33
456,Crime,7
456,Fiction,261
456,Mystery,14
456,Philosophy,4
456,Romance,3
456,Thriller,5
475,Business,26
475,Ebooks,15
475,History,560
475,Nonfiction,230
475,Philosophy,16
475,Psychology,11
475,Science,222
597,Biography,37
597,Contemporary,14
597,Ebooks,4
597,Fiction,32
597,History,7
597,Memoir,116
597,Music,304
597,Nonfiction,163
597,Travel,40
599,Biography,16
599,Contemporary,38
599,Fiction,45
599,History,18
599,Memoir,71
599,Music,162
599,Nonfiction,544
599,Philosophy,29
599,Psychology,12
599,Science,8
599,Sports,16
621,Business,74
621,Nonfiction,49
621,Psychology,2
621,Self Help,41
629,Biography,115
629,Business,33
629,Classics,494
629,Contemporary,47
629,Ebooks,39
629,Fiction,1374
629,Memoir,184
629,Nonfiction,441
629,Philosophy,2932
629,Psychology,195
629,Religion,157
629,Self Help,121
629,Spirituality,305
629,Travel,297
647,Business,120
647,Contemporary,10
647,Ebooks,7
647,Fiction,8
647,History,45
647,Nonfiction,238
647,Philosophy,41
647,Psychology,8
647,Science,10
656,Classics,7569
656,Ebooks,129
656,Fiction,3173
656,Historical Fiction,1366
656,History,400
656,Philosophy,135
656,Romance,163
662,Business,114
662,Classics,3165
662,Contemporary,75
662,Ebooks,42
662,Fantasy,64
662,Fiction,4365
662,Historical Fiction,37
662,Mystery,45
662,Philosophy,1698
662,Romance,52
662,Science,37
662,Science Fiction,326
665,Business,6
665,Classics,25
665,Contemporary,17
665,Ebooks,10
665,Fiction,41
665,History,21
665,Nonfiction,71
665,Philosophy,537
665,Psychology,37
665,Self Help,7
667,Classics,439
667,Contemporary,23
667,Ebooks,65
667,Fantasy,104
667,Fiction,1934
667,Philosophy,723
667,Romance,27
667,Science Fiction,517
667,Young Adult,57
668,Classics,291
668,Contemporary,9
668,Ebooks,9
