,RMSE,learning_rate,method,n_epochs,reg
4,0.8958366437253247,0.005,sgd,20,0.01
1,0.8958929529200302,0.005,sgd,20,0.02
8,0.8960016948010177,0.005,sgd,40,0.05
7,0.8961522892888546,0.005,sgd,20,0.05
2,0.8963540623419733,0.005,sgd,40,0.02
5,0.8965217588258728,0.005,sgd,40,0.01
21,0.8972088097154111,0.01,sgd,10,0.01
18,0.8972650294521699,0.01,sgd,10,0.02
25,0.8973422235274784,0.01,sgd,20,0.05
24,0.8975248426935717,0.01,sgd,10,0.05
19,0.897700445197219,0.01,sgd,20,0.02
22,0.897870315812833,0.01,sgd,20,0.01
26,0.8991774828056958,0.01,sgd,40,0.05
20,0.8999893896074612,0.01,sgd,40,0.02
23,0.9003290061270816,0.01,sgd,40,0.01
3,0.9047371295830523,0.005,sgd,10,0.01
0,0.9048893093473723,0.005,sgd,10,0.02
6,0.9054038765620444,0.005,sgd,10,0.05
14,0.9091975961017464,0.001,sgd,40,0.01
11,0.9093318146981254,0.001,sgd,40,0.02
17,0.9097912214362167,0.001,sgd,40,0.05
13,0.9292937722333504,0.001,sgd,20,0.01
10,0.9293766408039069,0.001,sgd,20,0.02
16,0.929677897154392,0.001,sgd,20,0.05
12,0.9474958570973996,0.001,sgd,10,0.01
9,0.9475382436692427,0.001,sgd,10,0.02
15,0.9477164635350236,0.001,sgd,10,0.05
