,alpha,d,lambda,rmse
0,5e-05,5,1e-05,0.9584716205104228
1,5e-05,5,0.0001,0.9586211781252697
2,5e-05,5,0.001,0.9585712701810949
3,5e-05,5,0.01,0.958970813723517
4,5e-05,5,0.1,0.9584901706415158
5,5e-05,5,1.0,0.9587714465042824
6,0.0001,5,1e-05,0.9586302202134661
7,0.0001,5,0.0001,0.9584011617921174
8,0.0001,5,0.001,0.9581215576515847
9,0.0001,5,0.01,0.9586059936179622
10,0.0001,5,0.1,0.9588907919134342
11,0.0001,5,1.0,0.9586084905898189
12,0.00015,5,1e-05,0.9585381670893914
13,0.00015,5,0.0001,0.9586253546044402
14,0.00015,5,0.001,0.9585653135999522
15,0.00015,5,0.01,0.9586532161082054
16,0.00015,5,0.1,0.9585501219967926
17,0.00015,5,1.0,0.9589167652793296
18,0.0002,5,1e-05,0.9587553308305479
19,0.0002,5,0.0001,0.9586613401988303
20,0.0002,5,0.001,0.9584994605238037
21,0.0002,5,0.01,0.9585677229400565
22,0.0002,5,0.1,0.9587010880594011
23,0.0002,5,1.0,0.9589986675041828
24,5e-05,10,1e-05,0.9602247611060118
25,5e-05,10,0.0001,0.960034409980322
26,5e-05,10,0.001,0.9603245977577263
27,5e-05,10,0.01,0.9602109381386329
28,5e-05,10,0.1,0.9601144116258293
29,5e-05,10,1.0,0.9604528315548033
30,0.0001,10,1e-05,0.9603316782436856
31,0.0001,10,0.0001,0.9599926790446914
32,0.0001,10,0.001,0.9601429341655918
33,0.0001,10,0.01,0.960162053747426
34,0.0001,10,0.1,0.9601449922581891
35,0.0001,10,1.0,0.9604293114248549
36,0.00015,10,1e-05,0.9600197854284525
37,0.00015,10,0.0001,0.9601210781612934
38,0.00015,10,0.001,0.9601666262467692
39,0.00015,10,0.01,0.9602843387704957
40,0.00015,10,0.1,0.9603098022928805
41,0.00015,10,1.0,0.9609039223205089
42,0.0002,10,1e-05,0.9601822994712865
43,0.0002,10,0.0001,0.9604545975899111
44,0.0002,10,0.001,0.9601516140510862
45,0.0002,10,0.01,0.9601102595653656
46,0.0002,10,0.1,0.9600279211620112
47,0.0002,10,1.0,0.9616203393780811
48,5e-05,15,1e-05,0.9616281365905369
49,5e-05,15,0.0001,0.9614735498652304
50,5e-05,15,0.001,0.9617648714293768
51,5e-05,15,0.01,0.9616052352816403
52,5e-05,15,0.1,0.9617319674409138
53,5e-05,15,1.0,0.9616416098325162
54,0.0001,15,1e-05,0.9615617955904613
55,0.0001,15,0.0001,0.9617180792863715
56,0.0001,15,0.001,0.961668495177798
57,0.0001,15,0.01,0.961673206299292
58,0.0001,15,0.1,0.9617709232930451
59,0.0001,15,1.0,0.962413450855068
60,0.00015,15,1e-05,0.9620928491442177
61,0.00015,15,0.0001,0.96176724547752
62,0.00015,15,0.001,0.9614544730856275
63,0.00015,15,0.01,0.9616823755715256
64,0.00015,15,0.1,0.9615390851931256
65,0.00015,15,1.0,0.9630452292692041
66,0.0002,15,1e-05,0.9616914734214003
67,0.0002,15,0.0001,0.962296441069339
68,0.0002,15,0.001,0.961510806012213
69,0.0002,15,0.01,0.9615185367631649
70,0.0002,15,0.1,0.9617175124927329
71,0.0002,15,1.0,0.9641558331848787
