,book_id,goodreads_book_id,authors,original_publication_year,language_code,Art,Biography,Business,Chick Lit,Children's,Christian,Classics,Comics,Contemporary,Cookbooks,Crime,Ebooks,Fantasy,Fiction,Gay and Lesbian,Graphic Novels,Historical Fiction,History,Horror,Humor and Comedy,Manga,Memoir,Music,Mystery,Nonfiction,Paranormal,Philosophy,Poetry,Psychology,Religion,Romance,Science,Science Fiction,Self Help,Spirituality,Sports,Suspense,Thriller,Travel,Young Adult
0,1,2767052,Suzanne Collins,2008.0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,0.0,0.0,690.0,10836.0,13819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3341.0,0.0,8772.0,0.0,0.0,0.0,641.0,800.0,0.0,25968.0
1,2,3,"J.K. Rowling, Mary GrandPré",1997.0,eng,0.0,0.0,0.0,0.0,1771.0,0.0,1898.0,0.0,397.0,0.0,0.0,0.0,47478.0,13239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.0,0.0,923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14984.0
2,3,41865,Stephenie Meyer,2005.0,en-US,0.0,0.0,0.0,716.0,0.0,0.0,0.0,0.0,503.0,0.0,0.0,0.0,14288.0,6298.0,0.0,0.0,0.0,0.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,5180.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,16640.0
3,4,2657,Harper Lee,1960.0,eng,0.0,0.0,0.0,0.0,0.0,0.0,31068.0,0.0,253.0,0.0,309.0,0.0,0.0,879.0,0.0,0.0,4735.0,378.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2436.0
4,5,4671,F. Scott Fitzgerald,1925.0,eng,0.0,0.0,0.0,0.0,0.0,0.0,32061.0,0.0,0.0,0.0,0.0,257.0,0.0,15360.0,0.0,0.0,2394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0
5,6,11870085,John Green,2012.0,eng,0.0,0.0,0.0,309.0,0.0,0.0,0.0,0.0,5214.0,0.0,0.0,504.0,0.0,8070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17160.0
6,7,5907,J.R.R. Tolkien,1937.0,en-US,0.0,0.0,0.0,0.0,521.0,0.0,12913.0,0.0,0.0,0.0,0.0,218.0,41786.0,11206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,2234.0
7,8,5107,J.D. Salinger,1951.0,eng,0.0,0.0,0.0,0.0,0.0,0.0,22118.0,0.0,357.0,0.0,0.0,0.0,0.0,13435.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3240.0
8,9,960,Dan Brown,2000.0,en-CA,80.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,532.0,0.0,820.0,106.0,322.0,9364.0,0.0,0.0,822.0,174.0,0.0,0.0,0.0,0.0,0.0,5740.0,0.0,0.0,0.0,0.0,0.0,460.0,87.0,0.0,155.0,0.0,0.0,0.0,1274.0,4563.0,0.0,0.0
9,10,1885,Jane Austen,1813.0,eng,0.0,0.0,0.0,505.0,0.0,0.0,35772.0,0.0,0.0,0.0,0.0,489.0,0.0,11000.0,0.0,0.0,2813.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0
10,11,77203,Khaled Hosseini,2003.0,eng,0.0,0.0,0.0,0.0,0.0,0.0,980.0,0.0,1376.0,0.0,0.0,129.0,0.0,11711.0,0.0,0.0,3741.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0
11,12,13335037,Veronica Roth,2011.0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,5134.0,5648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3694.0,0.0,4914.0,0.0,0.0,0.0,0.0,281.0,0.0,17987.0
12,13,5470,"George Orwell, Erich Fromm, Celâl Üster",1949.0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,879.0,15044.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0,0.0,0.0,0.0,0.0,0.0,7892.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0
13,14,7613,George Orwell,1945.0,eng,0.0,0.0,0.0,0.0,0.0,0.0,22106.0,0.0,0.0,0.0,0.0,147.0,2179.0,12944.0,0.0,0.0,335.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,0.0,0.0,0.0,0.0,1393.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0
14,15,48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,eng,0.0,4256.0,0.0,0.0,122.0,0.0,10919.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,0.0,0.0,533.0,4359.0,0.0,0.0,0.0,2765.0,0.0,0.0,3817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.0
15,16,2429135,"Stieg Larsson, Reg Keeland",2005.0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.0,0.0,3260.0,274.0,0.0,10382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386.0,4727.0,0.0,0.0
16,17,6148028,Suzanne Collins,2009.0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,638.0,8658.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,316.0,0.0,0.0,0.0,479.0,605.0,0.0,22245.0
17,18,5,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,eng,0.0,0.0,0.0,0.0,1338.0,0.0,1090.0,0.0,324.0,0.0,0.0,0.0,39330.0,10656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12856.0
18,19,34,J.R.R. Tolkien,1954.0,eng,0.0,0.0,0.0,0.0,0.0,0.0,7966.0,0.0,0.0,0.0,0.0,114.0,31618.0,7187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,654.0
19,20,7260188,Suzanne Collins,2010.0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.0,8021.0,10208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2491.0,0.0,6490.0,0.0,0.0,0.0,400.0,528.0,0.0,20950.0
20,21,2,"J.K. Rowling, Mary GrandPré",2003.0,eng,0.0,0.0,0.0,0.0,1098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441.0,972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,0.0,688.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0
21,22,12232938,Alice Sebold,2002.0,eng,0.0,0.0,0.0,222.0,0.0,0.0,132.0,0.0,1260.0,0.0,731.0,111.0,1047.0,8468.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,2510.0,0.0,351.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,270.0,365.0,0.0,1647.0
22,23,15881,"J.K. Rowling, Mary GrandPré",1998.0,eng,0.0,0.0,0.0,0.0,1397.0,0.0,1129.0,0.0,317.0,0.0,0.0,0.0,39501.0,10755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,0.0,732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12691.0
23,24,6,"J.K. Rowling, Mary GrandPré",2000.0,eng,0.0,0.0,0.0,0.0,1227.0,0.0,1032.0,0.0,301.0,0.0,0.0,0.0,38378.0,10249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,0.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12979.0
24,25,136251,"J.K. Rowling, Mary GrandPré",2007.0,eng,0.0,0.0,0.0,0.0,1084.0,0.0,1019.0,0.0,316.0,0.0,0.0,0.0,37296.0,10012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,0.0,704.0,0.0,0.0,0.0,0.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12937.0
25,26,968,Dan Brown,2003.0,eng,242.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,786.0,0.0,0.0,133.0,379.0,13725.0,0.0,0.0,1379.0,324.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,672.0,115.0,0.0,101.0,0.0,0.0,0.0,1507.0,5358.0,0.0,0.0
26,27,1,"J.K. Rowling, Mary GrandPré",2005.0,eng,0.0,0.0,0.0,0.0,1095.0,0.0,958.0,0.0,289.0,0.0,0.0,0.0,37174.0,9954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,0.0,673.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12716.0
27,28,7624,William Golding,1954.0,eng,0.0,0.0,0.0,0.0,0.0,0.0,20516.0,0.0,119.0,0.0,0.0,0.0,226.0,11132.0,0.0,0.0,175.0,0.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,164.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,161.0,0.0,2774.0
28,29,18135,"William Shakespeare, Robert           Jackson",1595.0,eng,0.0,0.0,0.0,0.0,0.0,0.0,20507.0,0.0,0.0,0.0,0.0,119.0,0.0,4632.0,0.0,0.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,0.0,4204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0
